signal_date,stock_code,stock_name,policy_key,policy_label_ko,relationship_group,dashboard_rank,dashboard_score_v2,entry_1500,fill_pass,color_path,color_path_emoji,color_path_label_ko,pattern_short_label,d1_color,d1_color_emoji,d1_color_name_ko,d1_color_hex,d2_color,d2_color_emoji,d2_color_name_ko,d2_color_hex,d3_color,d3_color_emoji,d3_color_name_ko,d3_color_hex,d4_color,d4_color_emoji,d4_color_name_ko,d4_color_hex,d5_color,d5_color_emoji,d5_color_name_ko,d5_color_hex,d5_first_touch_result,outcome_ko,first_touch_result,first_touch_ko,mfe_d5_pct,mae_d5_pct,green_count,yellow_count,orange_count,red_count,gray_count,chart_path,chart_path_exists
2026-04-22,97230,HJ중공업,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,1,86.9116,30500.0,Y,Y-O-O-R-Y,🟡-🟠-🟠-🔴-🟡,회복-실패-실패-약세-회복,실패→약세,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,O,🟠,실패,#FFE1BD,R,🔴,약세,#FFD1D1,Y,🟡,회복,#FFF5C2,profit_first,익절 먼저,profit_first,익절 먼저,10.8197,-2.7869,0,2,2,1,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260422_r1_097230.png,True
2026-04-22,6360,GS건설,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,2,84.9841,41750.0,Y,O-O-X-Y-O,🟠-🟠-⚪-🟡-🟠,실패-실패-보합/부족-회복-실패,실패 반복,O,🟠,실패,#FFE1BD,O,🟠,실패,#FFE1BD,X,⚪,보합/부족,#E8ECF0,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,profit_first,익절 먼저,profit_first,익절 먼저,7.4251,-5.3892,0,1,3,0,1,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260422_r2_006360.png,True
2026-04-22,332570,PS일렉트로닉스,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,3,82.2412,8250.0,Y,G-G-Y-R-O,🟢-🟢-🟡-🔴-🟠,완전강세-완전강세-회복-약세-실패,초강세 유지,G,🟢,완전강세,#D1F5DD,G,🟢,완전강세,#D1F5DD,Y,🟡,회복,#FFF5C2,R,🔴,약세,#FFD1D1,O,🟠,실패,#FFE1BD,profit_first,익절 먼저,profit_first,익절 먼저,20.1212,-5.4545,2,1,1,1,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260422_r3_332570.png,True
2026-04-23,97230,HJ중공업,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,1,86.9116,32800.0,Y,O-O-R-Y-O,🟠-🟠-🔴-🟡-🟠,실패-실패-약세-회복-실패,실패→약세,O,🟠,실패,#FFE1BD,O,🟠,실패,#FFE1BD,R,🔴,약세,#FFD1D1,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,loss_first,손실 먼저,loss_first,손실 먼저,2.5915,-11.8902,0,1,3,1,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260423_r1_097230.png,True
2026-04-23,6360,GS건설,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,2,84.9841,41800.0,Y,O-X-Y-O-R,🟠-⚪-🟡-🟠-🔴,실패-보합/부족-회복-실패-약세,실패→약세,O,🟠,실패,#FFE1BD,X,⚪,보합/부족,#E8ECF0,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,R,🔴,약세,#FFD1D1,loss_first,손실 먼저,loss_first,손실 먼저,7.2967,-10.2871,0,1,2,1,1,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260423_r2_006360.png,True
2026-04-23,6340,대원전선,V2_FINAL_TOP3,최종 운영형 V2 Top3,COMMON_V2_P0,3,82.0865,8190.0,Y,Y-G-O-Y-Y,🟡-🟢-🟠-🟡-🟡,회복-완전강세-실패-회복-회복,회복→강세,Y,🟡,회복,#FFF5C2,G,🟢,완전강세,#D1F5DD,O,🟠,실패,#FFE1BD,Y,🟡,회복,#FFF5C2,Y,🟡,회복,#FFF5C2,loss_first,손실 먼저,loss_first,손실 먼저,102.442,-4.884,1,3,1,0,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260423_r3_006340.png,True
2026-04-24,97230,HJ중공업,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,1,86.9116,31900.0,Y,O-R-Y-O-O,🟠-🔴-🟡-🟠-🟠,실패-약세-회복-실패-실패,실패→약세,O,🟠,실패,#FFE1BD,R,🔴,약세,#FFD1D1,Y,🟡,회복,#FFF5C2,O,🟠,실패,#FFE1BD,O,🟠,실패,#FFE1BD,loss_first,손실 먼저,loss_first,손실 먼저,1.7241,-10.6583,0,1,3,1,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260424_r1_097230.png,True
2026-04-24,6340,대원전선,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,2,82.0865,8940.0,Y,G-O-Y-Y-G,🟢-🟠-🟡-🟡-🟢,완전강세-실패-회복-회복-완전강세,회복→강세,G,🟢,완전강세,#D1F5DD,O,🟠,실패,#FFE1BD,Y,🟡,회복,#FFF5C2,Y,🟡,회복,#FFF5C2,G,🟢,완전강세,#D1F5DD,profit_first,익절 먼저,profit_first,익절 먼저,107.6063,4.0268,2,2,1,0,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260424_r2_006340.png,True
2026-04-24,80220,제주반도체,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,3,79.4252,54200.0,Y,G-O-O-O-G,🟢-🟠-🟠-🟠-🟢,완전강세-실패-실패-실패-완전강세,실패 반복,G,🟢,완전강세,#D1F5DD,O,🟠,실패,#FFE1BD,O,🟠,실패,#FFE1BD,O,🟠,실패,#FFE1BD,G,🟢,완전강세,#D1F5DD,profit_first,익절 먼저,profit_first,익절 먼저,15.4982,-3.5055,2,0,3,0,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260424_r3_080220.png,True
2026-04-27,6340,대원전선,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,1,82.0865,10110.0,Y,O-Y-Y-G-Y,🟠-🟡-🟡-🟢-🟡,실패-회복-회복-완전강세-회복,회복→강세,O,🟠,실패,#FFE1BD,Y,🟡,회복,#FFF5C2,Y,🟡,회복,#FFF5C2,G,🟢,완전강세,#D1F5DD,Y,🟡,회복,#FFF5C2,profit_first,익절 먼저,profit_first,익절 먼저,100.7913,-3.8576,1,3,1,0,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260427_r1_006340.png,True
2026-04-27,80220,제주반도체,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,2,79.4252,58900.0,Y,O-O-O-G-G,🟠-🟠-🟠-🟢-🟢,실패-실패-실패-완전강세-완전강세,실패 반복,O,🟠,실패,#FFE1BD,O,🟠,실패,#FFE1BD,O,🟠,실패,#FFE1BD,G,🟢,완전강세,#D1F5DD,G,🟢,완전강세,#D1F5DD,loss_first,손실 먼저,loss_first,손실 먼저,5.0934,-11.2054,2,0,3,0,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260427_r2_080220.png,True
2026-04-27,10170,대한광통신,V2_FINAL_TOP3,최종 운영형 V2 Top3,COMMON_V2_P0,3,78.9037,16000.0,Y,O-O-Y-G-G,🟠-🟠-🟡-🟢-🟢,실패-실패-회복-완전강세-완전강세,회복→강세,O,🟠,실패,#FFE1BD,O,🟠,실패,#FFE1BD,Y,🟡,회복,#FFF5C2,G,🟢,완전강세,#D1F5DD,G,🟢,완전강세,#D1F5DD,loss_first,손실 먼저,loss_first,손실 먼저,20.5,-9.625,2,1,2,0,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260427_r3_010170.png,True
2026-04-28,80220,제주반도체,V2_FINAL_TOP3,최종 운영형 V2 Top3,V2_ONLY,1,79.4252,55100.0,Y,O-O-G-G-O,🟠-🟠-🟢-🟢-🟠,실패-실패-완전강세-완전강세-실패,실패 반복,O,🟠,실패,#FFE1BD,O,🟠,실패,#FFE1BD,G,🟢,완전강세,#D1F5DD,G,🟢,완전강세,#D1F5DD,O,🟠,실패,#FFE1BD,loss_first,손실 먼저,loss_first,손실 먼저,12.3412,-5.0817,2,0,3,0,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260428_r1_080220.png,True
2026-04-28,10170,대한광통신,V2_FINAL_TOP3,최종 운영형 V2 Top3,COMMON_V2_P0,2,78.9037,15060.0,Y,O-Y-G-G-G,🟠-🟡-🟢-🟢-🟢,실패-회복-완전강세-완전강세-완전강세,강세 지속,O,🟠,실패,#FFE1BD,Y,🟡,회복,#FFF5C2,G,🟢,완전강세,#D1F5DD,G,🟢,완전강세,#D1F5DD,G,🟢,완전강세,#D1F5DD,loss_first,손실 먼저,loss_first,손실 먼저,46.0823,-3.9841,3,1,1,0,0,C:\Coding\data\closingbell\research_index\prev_close_color_review_20260515\charts_recent_1m\V2_FINAL_TOP3\20260428_r2_010170.png,True
